Id,Label,LAT,LNG
BRN, Brunei Darussalam,4.535277,114.727669
TUN, Tunisia,33.886917,9.537499
RUS, Russia,61.52401,105.318756
MTN, Montenegro,42.708678,19.37439
BRB, Barbados,13.193887,-59.543198
BRA, Brazil,-14.235004,-51.92528
CIV, Cte Ivoire (Ivory Coast),5.345317,-4.024429
GNQ, Equatorial Guinea,1.650801,10.267895
USA, United States,37.09024,-95.712891
QAT, Qatar,25.354826,51.183884
WSM, Samoa,-13.759029,-172.104629
AZE, Azerbaijan,40.143105,47.576927
GNB, Guinea-Bissau,11.803749,-15.180413
SWZ, Swaziland,-26.522503,31.465866
TON, Tonga,-21.178986,-175.198242
CAN, Canada,56.130366,-106.346771
UKR, Ukraine,48.379433,31.16558
KOR, Korea Republic of (Seoul),37.566535,126.977969
AIA, Anguilla,18.220554,-63.068615
CAF, Central African Republic,6.611111,20.939444
CHE, Switzerland,46.818188,8.227512
CYP, Cyprus,35.126413,33.429859
BIH, Bosnia and Herzegovina,43.915886,17.679076
SGP, Singapore,1.352083,103.819836
SOM, Somalia,5.152149,46.199616
UZB, Uzbekistan,41.377491,64.585262
CMR, Cameroon,7.369722,12.354722
POL, Poland,51.919438,19.145136
KWT, Kuwait,29.31166,47.481766
ERI, Eritrea,15.179384,39.782334
GAB, Gabon,-0.803689,11.609444
CYM, Cayman Islands,19.3133,-81.2546
ARE, United Arab Emirates,23.424076,53.847818
EST, Estonia,58.595272,25.013607
MWI, Malawi,-13.254308,34.301525
ESP, Spain,40.463667,-3.74922
IRQ, Iraq,33.223191,43.679291
SLV, El Salvador,13.794185,-88.89653
MLI, Mali,17.570692,-3.996166
IRL, Ireland,53.142367,-7.692054
IRN, Iran,32.427908,53.688046
ABW, Aruba,12.52111,-69.968338
SLE, Sierra Leone,8.460555,-11.779889
PAN, Panama,8.537981,-80.782127
SDN, Sudan,12.862807,30.217636
SLB, Solomon Islands,-9.64571,160.156194
NZL, New Zealand,-40.900557,174.885971
MCO, Monaco,43.738418,7.424616
ITA, Italy,41.87194,12.56738
JPN, Japan,36.204824,138.252924
KGZ, Kyrgyzstan,41.20438,74.766098
UGA, Uganda,1.373333,32.290275
NCL, New Caledonia,-20.904305,165.618042
PNG, Papua New Guinea,-6.314993,143.95555
ARG, Argentina,-38.416097,-63.616672
SWE, Sweden,60.128161,18.643501
BHS, Bahamas,25.03428,-77.39628
BHR, Bahrain,26.0667,50.5577
ARM, Armenia,40.069099,45.038189
NRU, Nauru,-0.522778,166.931503
CUB, Cuba,21.521757,-77.781167
